ID	Metodo	URL	Esperado	Obtido	Resultado
POST-01	POST	http://localhost:8080/api/v1/servicos	201	201	PASS
POST-02	POST	http://localhost:8080/api/v1/servicos	201	201	PASS
POST-03	POST	http://localhost:8080/api/v1/servicos	400	400	PASS
POST-04	POST	http://localhost:8080/api/v1/servicos	400	400	PASS
POST-05	POST	http://localhost:8080/api/v1/servicos	400	400	PASS
POST-06	POST	http://localhost:8080/api/v1/servicos	400	400	PASS
POST-07	POST	http://localhost:8080/api/v1/servicos	400	400	PASS
POST-08	POST	http://localhost:8080/api/v1/servicos	400	400	PASS
POST-09	POST	http://localhost:8080/api/v1/servicos	415	415	PASS
GET-01	GET	http://localhost:8080/api/v1/servicos	200	200	PASS
GET-02	GET	http://localhost:8080/api/v1/servicos/1	200	200	PASS
GET-03	GET	http://localhost:8080/api/v1/servicos/99999	404	404	PASS
GET-04	GET	http://localhost:8080/api/v1/servicos/abc	400	400	PASS
PUT-01	PUT	http://localhost:8080/api/v1/servicos/1	200	200	PASS
PUT-02	GET	http://localhost:8080/api/v1/servicos/1	200	200	PASS
PUT-03	PUT	http://localhost:8080/api/v1/servicos/99999	404	404	PASS
PUT-04	PUT	http://localhost:8080/api/v1/servicos/2	400	400	PASS
PATCH-01	PATCH	http://localhost:8080/api/v1/servicos/1	405	405	PASS
DEL-01	DELETE	http://localhost:8080/api/v1/servicos/2	204	204	PASS
DEL-02	GET	http://localhost:8080/api/v1/servicos/2	404	404	PASS
DEL-03	DELETE	http://localhost:8080/api/v1/servicos/2	404	404	PASS
DEL-04	DELETE	http://localhost:8080/api/v1/servicos/99999	404	404	PASS
DEL-05	DELETE	http://localhost:8080/api/v1/servicos/abc	400	400	PASS
GET-05	GET	http://localhost:8080/api/v1/servicos	200	200	PASS
OBS-P1	POST	http://localhost:8080/api/v1/servicos	400	201	FAIL
OBS-P2	POST	http://localhost:8080/api/v1/servicos	400	201	FAIL
